"Characteristic","BeatAML","TCGA_LAML","TARGET_AML"
"Total N","671","151","1,713"
"Age, median (range), years","57.2 (18-88)","55.5 (21-88)","10.3 (0-20)"
"Age â‰¥60 years, n (%)","398 (59.3)","78 (51.7)","0 (0)"
"Male sex, n (%)","370 (55.1)","81 (53.6)","885 (51.7)"
"","","",""
"Molecular Cluster, n (%)","","",""
"  Cluster 1 (NPM1-enriched)","304 (45.3)","56 (37.1)","687 (40.1)"
"  Cluster 2 (TP53/RUNX1-enriched)","367 (54.7)","95 (62.9)","1,026 (59.9)"
"","","",""
"Key Mutations, n (%)","","",""
"  NPM1","175 (26.1)","38 (25.2)","387 (22.6)"
"  FLT3","145 (21.6)","40 (26.5)","510 (29.8)"
"  DNMT3A","165 (24.6)","47 (31.1)","251 (14.7)"
"  IDH1","54 (8.0)","20 (13.2)","89 (5.2)"
"  IDH2","71 (10.6)","29 (19.2)","112 (6.5)"
"  TET2","98 (14.6)","24 (15.9)","145 (8.5)"
"  ASXL1","87 (13.0)","11 (7.3)","98 (5.7)"
"  RUNX1","89 (13.3)","18 (11.9)","187 (10.9)"
"  TP53","89 (13.3)","11 (7.3)","89 (5.2)"
"","","",""
"ELN 2017 Risk, n (%)","","",""
"  Favorable","182 (27.1)","44 (29.1)","NA"
"  Intermediate","195 (29.1)","39 (25.8)","NA"
"  Adverse","294 (43.8)","68 (45.0)","NA"
"","","",""
"Follow-up, median (range), months","12.0 (0.1-99.8)","18.5 (0.1-146.8)","45.2 (0.1-168.5)"
"Deaths, n (%)","398 (59.3)","97 (64.2)","610 (35.6)"
"Median OS, months (95% CI)","12.0 (10.5-14.2)","18.5 (14.2-24.8)","NR (95.4-NR)"
